Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Weekend,Revenue,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,OperatingSystems_1,OperatingSystems_2,OperatingSystems_3,OperatingSystems_4,OperatingSystems_5,OperatingSystems_6,OperatingSystems_7,OperatingSystems_8,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,TrafficType_1,TrafficType_2,TrafficType_3,TrafficType_4,TrafficType_5,TrafficType_6,TrafficType_7,TrafficType_8,TrafficType_9,TrafficType_10,TrafficType_11,TrafficType_12,TrafficType_13,TrafficType_14,TrafficType_15,TrafficType_16,TrafficType_17,TrafficType_18,TrafficType_19,TrafficType_20,Browser_1,Browser_2,Browser_3,Browser_4,Browser_5,Browser_6,Browser_7,Browser_8,Browser_9,Browser_10,Browser_11,Browser_12,Browser_13
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.6910031807070663,-0.6241662461585405,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.66851798144781,-0.5907203608041882,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.6910031807070663,-0.6241662461585405,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.66851798144781,-0.623121062241217,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.48863638737375986,-0.29650108807762016,0.0,0.0,-0.31336794548303215,-0.11246257955543619,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.2862695940404534,-0.5436870845246302,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.6910031807070663,-0.6241662461585405,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.39593771128091604,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.7134883799663226,-0.6241662461585405,0.0,0.0,-0.31336794548303215,-0.11246257955543619,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.66851798144781,-0.6048303436880555,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6969929641233985,-0.4565115516495256,-0.39647790101721353,-0.2447040195642488,-0.6460327821885538,-0.23849338066616535,0.0,0.0,-0.31336794548303215,-0.11246257955543619,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
